Unnamed: 0,Date,text_headlines
311,2017-02-07 04:12:00,urban outfitters shares fall 38percent in tuesday after-hours
328,2017-01-09 04:10:00,these are the 10 best and 10 worst us stocks of 2017
332,2016-12-23 03:17:00,tjx burlington and other off-price retailers could benefit most from 2017 tax reform
336,2016-11-28 04:28:00,projected holiday sales gain cut after weaker thanksgiving weekend showing
341,2016-11-23 10:13:00,urban outfitters shares down 10percent after late tuesday earnings announcement
342,2016-11-23 07:18:00,urban outfitters stock price target cut to $32 from $40 at wunderlich securities
344,2016-11-22 08:52:00,urban outfitters shares slip after earnings miss
345,2016-11-22 05:47:00,dow closes above 19000 as stocks log second straight record session
347,2016-11-22 04:15:00,urban outfitters shares tank after company misses eps sales expectations
350,2016-11-22 04:06:00,urban outfitters shares down 5percent after q3 results
359,2016-10-03 03:18:00,49 us stocks that surged at least 20percent in the third quarter
364,2016-08-30 07:00:00,what to watch for in abercrombie & fitch earnings
369,2016-08-17 04:11:00,stocks close slightly higher as fed rate-hike debate rages on
370,2016-08-17 10:35:00,urban outfitters stock fair value target raised to $36 from $31 at mkm partners
372,2016-08-17 09:42:00,breaking                    shares of urban outfitters soar 16percent after earnings beat
373,2016-08-17 09:34:00,urban outfitters stock price target raised to $36 from $30 at ubs
376,2016-08-17 07:52:00,urban outfitters shares up 12percent in wednesday premarket trading
377,2016-08-17 07:47:00,urban outfitters stock price valuation range raised to $28-$30 from $24-$26 at wells fargo
378,2016-08-17 07:40:00,urban outfitters stock price target raised to $34 from $29 at rbc capital
379,2016-08-17 07:38:00,urban outfitters stock price target raised to $34 from $29 at wedbush securities
380,2016-08-17 07:32:00,urban outfitters stock price target raised to $31 from $26 at wunderlich securities
381,2016-08-17 07:18:00,urban outfitters stock price target raised to $40 from $35 at stifel nicolaus
382,2016-08-16 05:27:00,urban outfitters profit rises as sales gain
383,2016-08-16 04:15:00,urban outfitters shares up 10percent after earnings beat
386,2016-08-16 04:06:00,urban outfitters shares up 6percent after earnings
388,2016-07-25 08:59:00,urban outfitters stock price target raised to $32 from $28 at deutsche bank
391,2016-06-13 10:03:00,wedbush lowers urban outfitters target as ‘tough trends’ continue
394,2016-06-10 08:32:00,urban outfitters stock price target cut to $30 from $33 at ubs
396,2016-06-10 08:27:00,urban outfitters stock price target cut to $29 from $32 at rbc capital
397,2016-06-09 05:36:00,urban outfitters warns of weak sales shares fall
398,2016-06-09 04:40:00,urban outfitters shares drop after second-quarter same-store sales warning
399,2016-06-09 04:27:00,urban outfitters shares fall 56percent in after-hours trading
401,2016-05-25 04:29:00,11 smaller-company stocks set to gain from a strong dollar
404,2016-05-19 09:34:00,breaking                    urban outfitters shares jump almost 125percent to $2766 to lead s&p 500 gainers
406,2016-05-17 09:14:00,urban outfitters stock price target cut to $30 from $33 at deutsche bank
409,2016-04-01 03:28:00,most stocks rose during the first quarter — surprised
411,2016-04-01 09:35:00,urban outfitters shares rise 35percent at $3421 to lead s&p 500 advancers
412,2016-03-21 11:42:00,premium                                                                                                        charting the s&p 500’s rally to a slight year-to-date gain
413,2016-03-08 05:01:00,us stocks snap 5-day win streak as oil reverses course
414,2016-03-08 01:39:00,urban outfitters ‘past the worst’ as shares rocket 17percent
415,2016-03-08 10:57:00,urban outfitters stock price target raised to $27 from $25 at buckingham research
416,2016-03-08 09:46:00,urban outfitters shares jump 12percent as price target raised by bmo capital
419,2016-03-08 09:06:00,urban outfitters stock price target raised to $28 from $22 at bmo capital
420,2016-03-08 08:48:00,urban outfitters stock price target raised to $33 from $23 at ubs
421,2016-03-08 07:50:00,urban outfitters stock price target raised to $30 from $25 at rbc capital
422,2016-03-08 07:48:00,urban outfitters stock price target raised to $32 from $23 at wedbush securities
423,2016-03-08 07:47:00,urban outfitters stock price target raised to $34 from $28 at suntrust robinson humphrey
425,2016-03-08 07:29:00,urban outfitters stock price target raised to $34 from $30 at stifel nicolaus
426,2016-03-08 07:23:00,urban outfitters stock price target raised to $26 from $22 at wunderlich securities
428,2016-03-07 04:19:00,urban outfitters shares rally as earnings beat wall street's expectations
435,2016-02-10 07:49:00,urban outfitters stock price target cut to $23 from $24 at wedbush securities
445,2015-12-03 07:41:00,opinion                                                                                                        10 stocks leading the us market lower
452,2015-11-17 08:54:00,urban outfitters stock price target cut to $22 from $30 at nomura
453,2015-11-17 08:16:00,urban outfitters stock price target cut to $26 from $33 at mkm partners
454,2015-11-17 08:15:00,urban outfitters stock price target cut to $29 from $38 at credit suisse
455,2015-11-17 08:15:00,urban outfitters stock price target cut to $38 from $50 at jefferies
